%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1472,-6.671999931335449,-33.849998474121094,33.38999938964844,-0.021299999207258224,17.950000762939453,-3.572000026702881,-15.75,-40.63999938964844,15.819999694824219,-28.3799991607666,4.710999965667725,5.915999889373779,-29.459999084472656,-18.6299991607666,33.08000183105469,-9.769000053405762,0,0,0,0,0,0,0,0,0,0,0,0,0,19.773063,0,2025-05-31 12:16:48.095982,
1473,-14.84000015258789,-41.70000076293945,15.569999694824219,4.010000228881836,43.349998474121094,-12.90999984741211,-27.040000915527344,-58.939998626708984,18.600000381469727,-40.08000183105469,13.289999961853027,-0.7628999948501587,-29.3700008392334,-20.020000457763672,32.79999923706055,-7.669000148773193,0,0,0,0,0,0,0,0,0,0,0,0,0,19.773063,0,2025-05-31 12:16:48.095982,
1474,-8.967000007629395,-29.540000915527344,21.06999969482422,8.611000061035156,64.83999633789062,-6.005000114440918,-20.719999313354492,-43.599998474121094,37.9900016784668,41.150001525878906,3.8919999599456787,-6.3429999351501465,-18.6299991607666,-15.670000076293945,8.364999771118164,-10.420000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,19.773063,0,2025-05-31 12:16:48.095982,
1475,5.241000175476074,-14.710000038146973,26.420000076293945,3.3289999961853027,49.939998626708984,4.091000080108643,-11.359999656677246,-33.2400016784668,15.720000267028809,29.850000381469727,-9.88599967956543,-16.010000228881836,-27.09000015258789,-30.450000762939453,-18.489999771118164,-22.469999313354492,0,0,0,0,0,0,0,0,0,0,0,0,0,19.773063,0,2025-05-31 12:16:48.095982,
1476,1.1380000114440918,-23.809999465942383,9.217000007629395,-17.25,32.400001525878906,0.9193999767303467,-14.279999732971191,-54.68000030517578,-4.671999931335449,-55.95000076293945,-8.46399974822998,-12.920000076293945,-25.260000228881836,-23.899999618530273,-22.84000015258789,-28.170000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,19.773063,0,2025-05-31 12:16:48.095982,
1477,11.8100004196167,-20.079999923706055,13.470000267028809,-20.31999969482422,52.9900016784668,6.646999835968018,-9.20199966430664,-63.9900016784668,27.399999618530273,-53.720001220703125,-5.867000102996826,5.263000011444092,-4.785999774932861,-4.578000068664551,-9.920000076293945,-20.100000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,19.818125,0,2025-05-31 12:16:48.141044,
1478,30.1200008392334,-3.8369998931884766,20.459999084472656,-12.539999961853027,65.54000091552734,16.989999771118164,-2.559999942779541,-62.27000045776367,29.059999465942383,-25.420000076293945,-6.188000202178955,16.440000534057617,-3.5460000038146973,-12.9399995803833,-0.41429999470710754,-17.510000228881836,0,0,0,0,0,0,0,0,0,0,0,0,0,19.818125,0,2025-05-31 12:16:48.141044,
1479,31.020000457763672,-2.7699999809265137,14.770000457763672,-7.2179999351501465,41.56999969482422,22.56999969482422,1.097000002861023,-59.040000915527344,3.121000051498413,-18.719999313354492,4.603000164031982,22.549999237060547,-4.039000034332275,-7.4079999923706055,4.7789998054504395,-22.1299991607666,0,0,0,0,0,0,0,0,0,0,0,0,0,19.818125,0,2025-05-31 12:16:48.141044,
1480,27.979999542236328,-3.884999990463257,16.899999618530273,-3.243000030517578,34.810001373291016,19.270000457763672,-2.6510000228881836,-40.470001220703125,20.670000076293945,3.00600004196167,6.46999979019165,18.020000457763672,2.940000057220459,10.65999984741211,7.999000072479248,-20.239999771118164,0,0,0,0,0,0,0,0,0,0,0,0,0,19.818125,0,2025-05-31 12:16:48.141044,
1481,6.2230000495910645,-9.180000305175781,-0.1266999989748001,-19.059999465942383,35.79999923706055,0.7585999965667725,-21.110000610351562,-35.150001525878906,20.200000762939453,11.399999618530273,-17.239999771118164,-2.509000062942505,-6.495999813079834,-4.058000087738037,6.041999816894531,-14.869999885559082,0,0,0,0,0,0,0,0,0,0,0,0,0,19.818125,0,2025-05-31 12:16:48.141044,
1482,-9.173999786376953,-14.9399995803833,-6.586999893188477,-20.649999618530273,16.170000076293945,11.430000305175781,-8.743000030517578,-43.220001220703125,2.571000099182129,18.079999923706055,-17.81999969482422,6.14900016784668,-3.5999999046325684,-8.246000289916992,9.395000457763672,-10.989999771118164,0,0,0,0,0,0,0,0,0,0,0,0,0,19.865162,0,2025-05-31 12:16:48.188081,
1483,37.939998626708984,-0.7723000049591064,41.040000915527344,19.600000381469727,48.040000915527344,55.849998474121094,32.75,-27.68000030517578,51.79999923706055,11.84000015258789,28.8799991607666,48.189998626708984,15.520000457763672,11.520000457763672,27.799999237060547,-5.368000030517578,0,0,0,0,0,0,0,0,0,0,0,0,0,19.865162,0,2025-05-31 12:16:48.188081,
1484,80.95999908447266,5.998000144958496,71.61000061035156,39.31999969482422,121.5999984741211,67.56999969482422,40.599998474121094,-13.029999732971191,94.87999725341797,-33.880001068115234,65.83000183105469,63.029998779296875,13.25,12.9399995803833,56.40999984741211,8.734999656677246,0,0,0,0,0,0,0,0,0,0,0,0,0,19.865162,0,2025-05-31 12:16:48.188081,
